CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
47.154.849/0001-83;2024-03-28;1;Nex26_23;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex27_24;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex28_25;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex29_26;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex30_27;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex31_28;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex_3132;Av Chácara das Nascentes, s/n;400;1;Nenhuma característica relevante;0.001867;Venda
47.154.849/0001-83;2024-03-28;1;Nex_0304;Av Chácara das Nascentes, s/n;566.7;1;Nenhuma característica relevante;0.002371;Venda
47.154.849/0001-83;2024-03-28;1;Nex_0102;Av Chácara das Nascentes, s/n;706.9;1;Nenhuma característica relevante;0.002371;Venda
47.896.665/0001-99;2024-03-31;1;I Fashion Outlet Novo Hamburgo;Br-116, Km 236, S/n, Operário, Novo Hamburgo/RS, Brasil, 93310-460;34663.09;1;Direito de Propriedade;0.02758594517418;Renda
47.896.665/0001-99;2024-03-31;1;I Fashion Outlet Novo Hamburgo;Br-116, Km 236, S/n, Operário, Novo Hamburgo/RS, Brasil, 93310-460;34663.09;1;Direito de Propriedade;0.02667398015723;Renda
47.896.665/0001-99;2024-06-30;1;Shopping Iguatemi Alphaville;Alameda Xingu, 350, 200/350, Alphaville Industrial, Barueri/SP, Brasil, 06455-911;49102.88;1;Direito de Propriedade;0.13558187182955;Renda
